gray,contrast_ratio,contrast_component,score,success
0,19.555999999999997,1.0,1.0,True
8,18.650262722167543,1.0,1.0,True
16,17.719701422388855,1.0,1.0,True
24,16.535310131913516,1.0,1.0,True
32,15.172900085358771,1.0,1.0,True
40,13.729480300802644,1.0,1.0,True
48,12.290584547633882,1.0,1.0,True
56,10.919498703415238,1.0,1.0,True
64,9.655428356182693,1.0,1.0,True
72,8.517179242081818,1.0,1.0,True
80,7.508841569883196,1.0,1.0,True
88,6.625229187568015,1.0,1.0,True
96,5.856118401671539,1.0,1.0,True
104,5.189150450319086,1.0,1.0,True
112,4.611625144170046,1.0,1.0,True
120,4.111499557169728,0.9444999367385326,-0.02,False
128,3.677868655107072,0.882552665015296,-0.02,False
136,3.301133086971194,0.828733298138742,-0.02,False
144,2.9729919569392025,0.7818559938484575,-0.02,False
152,2.68634703238914,0.7409067189127343,-0.02,False
160,2.4351696505252995,0.7050242357893285,-0.02,False
168,2.2143590220634235,0.6734798602947748,-0.02,False
176,2.0196068498534956,0.6456581214076422,-0.02,False
184,1.847275111014887,0.6210393015735552,-0.02,False
192,1.694289330580529,0.5991841900829328,-0.02,False
200,1.5580472828799188,0.5797210404114169,-0.02,False
208,1.4363419019713588,0.5623345574244798,-0.02,False
216,1.3272967215372005,0.5467566745053144,-0.02,False
224,1.2293120758878147,0.5327588679839735,-0.02,False
232,1.1410203908668513,0.5201457701238359,-0.02,False
240,1.0612490717600989,0.5087498673942998,-0.02,False
248,1.011132878357423,0.5015904111939176,-0.02,False
255,1.0738392309265699,0.5105484615609386,-0.02,False
